"","CoachID","FirstName","LastName","PhoneNumber","Address","City","State","ZipCode","Status","TeamID"
"1",1,"Steve","Zion","(954) 753-9999","6754 Lakeview Dr.","Coral Sprigns","FL","33071","1",1
"2",2,"Michael","Moldof","(954) 753-8888","100 Oak Lane","Coral Springs","FL","33071","2",NA
"3",3,"Neil","Goodman","(954) 752-7777","3800 Westview Dr.","Coral Springs","FL","33071","2",1
"4",4,"David","Stone","(954) 753-6666","550 Sample Road","Coral Springs","FL","33067","1",NA
"5",5,"Frank","Barber","(954) 752-5555","4545 Westview Dr.","Coral Springs","FL","33071","2",NA
"6",6,"Curtis","Kimble","(954) 344-4444","1101 Ramblewood Rd.","Coral Springs","FL","33071","1",7
"7",7,"Caren","Zarinsky","(954) 753-3333","4532 Maplewood Dr.","Coral Springs","FL","33065","2",NA
"8",8,"Derek","Anderson","(954) 344-2222","1345 University Dr.","Coral Springs","FL","33071","2",3
"9",9,"Karen","Kinzer","(954) 752-1111","922 Sample Road","Coral Springs","FL","33067","1",6
"10",10,"Alex","Fraser","(954) 344-0000","4566 Parkside Dr.","Coral Springs","FL","33071","1",4
"11",11,"Lorenzo","Pearson","(954) 752-1234","2450 Maplewood Dr.","Coral Springs","FL","33065","1",3
"12",12,"Shira","Citron","(954) 753-5678","500 Oak Lane","Coral Springs","FL","33071","2",6
